imdbid,title,rating,director,cast,duration,descripton
tt9204408,Kung Fu League (2018),4.9,Jeffrey Lau,"Ashin,Kwok-Kwan Chan,Jay Chou,Madina Memet",1H42M,"Kung Fu League is a movie starring Ashin, Kwok-Kwan Chan, and Jay Chou. Fei Ying Xiong, an indigent comic book artist, is romantically interested in Bao'er, but the head manager of their company, who also has a interest in Bao'er,..."
tt9204690,Munch-museet i Oslo (1963),NA,Ulf Balle RÃ¸yem,NA,10M,NA
tt9205752,And Life (2018),NA,Ali Eren Ã‡elebi,"Kaan KarayalÃ§in,Ã‡inar Kiziltepe,Damla KÃ¶se",7M,"And Life is a short starring Kaan KarayalÃ§in, Ã‡inar Kiziltepe, and Damla KÃ¶se. Story about a man and a woman which takes place near a lake."
tt9205978,Olokun,NA,Osayande Agbontaen,"Zack Orji,Success Akpojotor,Oreofe Williams,Josephine Agbonmwanre",NA,"Olokun is a movie starring Zack Orji, Success Akpojotor, and Oreofe Williams. In Johannesburg, a heated discourse on the concept of God in Professor Roy's lecture causes him to visit a town in the interiors of Nigeria where he..."
tt9206180,En attendant (2018),NA,Thomas Hakim,"AurÃ©lien Gabrielli,NathanaÃ«l MaÃ¯ni,Christian Ruspini",23M,NA
tt9206516,Nuestras madres (2019),7.2,Cesar Diaz,"Emma Dib,Armando Espitia",1H18M,"Nuestras madres is a movie starring Emma Dib and Armando Espitia. Guatemala, 2018. The whole country is immersed in the trial of the soldiers who sparked the civil war. Victim statements come one after another. Ernesto is a young..."
tt9206562,Make Us Dream (2018),8.2,Sam Blair,"Steven Gerrard,Michael Owen,Steve Bruce,Jamie Carragher",1H44M,"Make Us Dream is a movie starring Steven Gerrard, Michael Owen, and Steve Bruce. Documentary about the mercurial football career of Steven Gerrard, one of Liverpool FCs finest ever players."
tt9206798,All Is True (2018),6,Kenneth Branagh,"Kenneth Branagh,Judi Dench,Ian McKellen,Lolita Chakrabarti",1H41M,"All Is True is a movie starring Kenneth Branagh, Judi Dench, and Ian McKellen. A look at the final days in the life of renowned playwright William Shakespeare."
tt9207214,24 MemÃ³rias por Segundo (2018),NA,Carlos Miranda,NA,21M,NA
tt9207222,The Conductor (TV Series 2018â€“ ),8.6,NA,"Lior Ashkenazi,Liora Rivlin,Doval'e Glickman,Shai Avivi",NA,"The Conductor is a TV series starring Lior Ashkenazi, Liora Rivlin, and Doval'e Glickman. Nobody knows why Noah, a famous pianist, leaves Chicago just before a concert and abruptly returns to his parent apartment in Petah Tikva. He..."
tt9207352,Peninkulmia nielemÃ¤ssÃ¤ (1937),NA,NA,NA,11M,NA
tt9207596,Durchlaucht reist inkognito (1919),NA,Hans Werckmeister,"Carl Fenz,Ilse GÃ¶tzen,Henri Peters-Arnolds",NA,NA
tt9207618,Summernats and the Hunt for the Great Aussie Hoon (TV Movie 2015),NA,Paul Fenech,"Tahir Bilgic,Elle Dawe,Paul Fenech,Rob Shehadie",NA,"Summernats and the Hunt for the Great Aussie Hoon is a TV movie starring Tahir Bilgic, Elle Dawe, and Paul Fenech. Pauly and his special team, Shazza and Kev the Kiwi, team up with Habib and Rocky the King Hoons from 'Fat Pizza' at..."
tt9207636,FrÃ¤ulein Colibri (1919),NA,Hans Werckmeister,"Fritz Achterberg,Erra Bognar,Ernst Pittschau,Maria Zelenka",NA,NA
tt9207738,Most (TV Series 2018â€“ ),5.5,NA,"Ingeborga Dapkunaite,Angelina Debor,Mikhail Porechenkov",NA,NA
tt9207900,Schaste Napolovinu (TV Series 2018),NA,NA,"Aleksandr Baidakov,Angelina Debor,Sergey Gorobchenko,Elena Radevich",NA,NA
tt9208628,Incorporeo (Necto) (2018),NA,Exe Thawne,"German Kenpachi,Facundo Pasqua",NA,"Incorporeo (Necto) is a short starring German Kenpachi and Facundo Pasqua. When People are Missing, some investigator finds a video in one of the hard drives inside of one of the missing persons house believing that the Video will..."
tt9208672,New Years Eve with Carson Daly (2016),NA,Ryan Polito,"Mel B,Carson Daly",NA,NA
tt9208876,Falcon & Winter Soldier (TV Series 2020â€“ ),NA,NA,"Daniel BrÃ¼hl,Anthony Mackie,Sebastian Stan,Emily VanCamp",NA,"Falcon & Winter Soldier is a TV series starring Daniel BrÃ¼hl, Anthony Mackie, and Sebastian Stan. TV series centering on Marvel Cinematic Universe characters Falcon and The Winter Soldier."
tt9209256,The Horror Host Underground: Horror Hosts from Coast to Coast (Video 2002),NA,NA,"A. Ghastlee Ghoul,Baron Mondo Von Doren,The Bone Jangler,Carpathian and the Patient Creatures",NA,NA
tt9209266,Half the World (2018),6.3,Junji Sakamoto,"Mayu Harada,Hiroki Hasegawa,Keisuke Horibe,Chizuru Ikewaki",NA,"Half the World is a movie starring Mayu Harada, Hiroki Hasegawa, and Keisuke Horibe. Hiroshi Takamura makes makes high-grade charcoals at a charcoal kiln that he inherited from his father. He has a wife, Hatsuno, and a son Akira,..."
tt9209312,Une sirÃ¨ne Ã  Paris,NA,Mathias Malzieu,"ClÃ©mence PoÃ©sy,Virginie Ledoyen,Reda Kateb,Rossy de Palma",NA,"Une sirÃ¨ne Ã  Paris is a movie starring ClÃ©mence PoÃ©sy, Virginie Ledoyen, and Reda Kateb. A man rescues a mermaid in Paris and slowly falls in love with her."
tt9209380,The Ghans (TV Series 2019â€“ ),NA,NA,NA,NA,NA
tt9209520,Tox (2019),NA,Lina Setra,"MaÃ«l Guivarc'h,Suzon Jourdan,Ludovic Laloy",NA,NA
tt9209562,Varvara (1998),6.2,Valeriy Fomin,"T. Akhlyustina,N. Votintseva,A. Zhzhenov",10M,NA
tt9209620,KatsudÃ´kyÃ´ (1928),NA,TorajirÃ´ SaitÃ´,"Atsushi Watanabe,Junko Kume,Takeshi Sakamoto,Kenji Ã”yama",NA,NA
tt9209720,Halsey: Without Me (2018),7.2,Colin Tilley,"Will Brandt,Halsey",4M,NA
tt9209818,Silent Drum (2018),NA,Mark Stevens,"Ger Mendel,Loura Klinkhamer",NA,NA
tt9210424,Rookery (2018),5,Pejman Teymourtash,"Borzou Arjmand,Sajad Afsharian,Faezeh Alavi,Amin Esfandiar",1H29M,"Rookery is a movie starring Borzou Arjmand, Sajad Afsharian, and Faezeh Alavi. Five youngsters are living in a rented house in Tehran each with a different problems. But when the wife of one of them Rasool comes to their house new..."
tt9211386,UFC 230: Cormier vs. Lewis (2018),7.3,NA,"Daniel Cormier,Derrick Lewis,Chris Weidman,Ronaldo Souza",NA,"UFC 230: Cormier vs. Lewis is a TV special starring Daniel Cormier, Derrick Lewis, and Chris Weidman. At UFC 230, two-division champ Daniel Cormier defends his heavyweight title for the first time against an exciting Texas knockout..."
tt9211804,Quick (2019),NA,Mikael HÃ¥fstrÃ¶m,"Jonas Karlsson,David Dencik,Alba August,Magnus Roosmann",NA,"Quick is a movie starring Jonas Karlsson, David Dencik, and Alba August. The captivating story of Sweden's greatest judicial scandal ever, about one man who sacrificed everything in his hunt for the truth."
tt9211820,Primavera en Petare (2019),NA,Mateo Manaure,"Aracelys Fiallo,Patricia Calderon,Yolis Mar Urdaneta",NA,NA
tt9212058,"Lulu, die LÃ¶wentÃ¤nzerin (1914)",NA,Eugen IllÃ©s,"Richard Liebesny,Vicky Werckmeister,Molly Wessely",NA,NA
tt9212252,Involuntary Activist (2019),NA,Mikael Bundsen,"Rick Yale,Eiry Hughes,John Partridge,Suzanne Packer",20M,NA
tt9212308,Za tvoim oknom (1986),5.4,Anatoliy Alyashev,NA,10M,NA
tt9212316,V/H/S (TV Mini-Series 2018),NA,NA,"Chloe Gonzalez,Imogen Gurney,Sidney Nicole Rogers,Jon Michael Simpsons",NA,"V/H/S is a TV mini-series starring Chloe Gonzalez, Imogen Gurney, and Sidney Nicole Rogers. The next generation of the horror anthology series, bringing four new frightening experiences to the palm of your hand."
tt9212350,The Return of the Storks (2018),7.4,Spyros Mavraganis,"Antonis Barbetakis,Mihalis Katsoudas,Lena Natsi,Nick Kavaratzis",1H7M,"The Return of the Storks is a movie starring Antonis Barbetakis, Mihalis Katsoudas, and Lena Natsi. An old man near the end of his life develops an obsession with storks, while his teenage grandson prepares for adulthood."
tt9212498,"""Room 104"" Josie & Me (TV Episode 2018)",6,Lila Neugebauer,"Joel Allen,Nicholette Dixon,Jaclyn Jasgur,Anita Kalathara",NA,"Josie & Me is an episode of Room 104 starring Joel Allen, Nicholette Dixon, and Jaclyn Jasgur. A woman asks her slightly-younger self to recreate the events of one night at a college frat party."
tt9212552,A u tebya est solnce? (1974),5.6,Anatoliy Alyashev,"Lidiya Kataeva,Anatoliy Shchukin",13M,NA
tt9212616,100 Days to Victory (TV Mini-Series 2018),6.8,NA,"Ben Mortley,Bruce Turner,Malcolm Taylor,Denis Lamonde",NA,"100 Days to Victory is a TV mini-series starring Ben Mortley, Bruce Turner, and Malcolm Taylor. The extraordinary story of how the Allies turned the tide in the final months of 1918 to win the First World War."
tt9212666,Mr. 365 (2018),6.1,Christie Will Wolf,"Chelsea Hobbs,Christopher Russell,Jill Morrison,Matthew Kevin Anderson",1H30M,"Mr. 365 is a movie starring Chelsea Hobbs, Christopher Russell, and Jill Morrison. When workaholic reality TV producer Sophie starts working on a holiday-season show about Will, a wildly sexy guy who celebrates Christmas every day..."
tt9212730,Zonbi gokudo (2001),NA,Hirohisa Sasaki,"Hitoshi Ozawa,Hideo Murota,Esaku Shindo,Osamu Ebara",1H27M,NA
tt9213042,"""Family Guy"" Pawtucket Pete (TV Episode 2018)",6.8,John Holmquist,"Seth MacFarlane,Alex Borstein,Seth Green,Mila Kunis",NA,"Pawtucket Pete is an episode of Family Guy starring Seth MacFarlane, Alex Borstein, and Seth Green. When the Pawtucket Brewery's new bosses want to change the company's mascot, Peter and Brian go head-to-head to become the new face."
tt9213060,"""Family Guy"" Hefty Shades of Gray (TV Episode 2019)",6.5,Joseph Lee,"Seth MacFarlane,Alex Borstein,Seth Green,Mila Kunis",NA,"Hefty Shades of Gray is an episode of Family Guy starring Seth MacFarlane, Alex Borstein, and Seth Green. Tom Tucker teaches Peter how to report fake news; Brian and Stewie help Chris improve his love life."
tt9213292,Domitemo kanzen ni on'nanoko! Son'na esuranku nyuhafu no dekachin o misetsukenagara komon sekkusu ga ero sugiru! (Video 2018),NA,Booker T.,"Anna Himejima,Kaname Honjo,Miyu Kanzaki,Marin Natsumi",NA,NA
tt9213488,Mr. And Mrs. Smith Parody (TV Movie 2016),NA,Jensen Noen,"Nick Bateman,Amanda Cerny,Ben Hampton,David Spade",NA,NA
tt9213792,VendrÃ¡n lluvias suaves (2018),6.3,IvÃ¡n Fund,"Alma Bozzo Kloster,Florencia Canavesio,Massimo Canavesio,Emilia Lia Izaguirre",1H21M,NA
tt9213932,Kardec (2019),6.9,Wagner de Assis,"Christian Baltauss,LetÃ­cia Braga,Sandra Corveloni,Louise D'Tuani",1H50M,"Kardec is a movie starring Christian Baltauss, LetÃ­cia Braga, and Sandra Corveloni. Tells the story of Allan Kardec, from his days as an educator to his contribution to the spiritist codification."
tt9214036,Love Plus (Video Game 2009),NA,NA,"Kenji Akabane,Masumi Asano,Saori Hayami,Aya Hisakawa",NA,NA
tt9214136,Alienado (2018),NA,Pablo Contreras SÃ¡nchez,"Rodrigo Filobello,Mariana Mancera PiÃ±a,AndrÃ©s Barojas",6M,"Alienado is a short starring Rodrigo Filobello, Mariana Mancera PiÃ±a, and AndrÃ©s Barojas. An internet vlogger interviews a quirky young man who claims to have been abducted by aliens."
tt9214190,Kid Dracula (Video Game 1990),NA,ShirÃ´ Murata,NA,NA,NA
